tissue_type,common,malignant,major_type,subtype,pannuke_label,hne_type,hne_label,markers,rank_source,low_support
bladder,True,False,Epithelial cells,Intermediate urothelial cells,epithelial,Epithelial cells,epithelial,"CDH1,ELF3,KLF5,PPARG,CLDN4,GPX2,TACSTD2,KRT19,KRT8,CLDN7,RAB11FIP1,KRT7,KRT18,FABP4,S100P,TMEM45B,GATA3,KRT13,GRHL3,KRT17,CD24,RAB25,ESRP1,EPCAM,SCNN1A,FOXA1,ARL14,GRHL2,ERBB3,TJP1,MUC1,ERBB4,HSD17B2,TMPRSS11E,FASN,ERBB2,ELF5,TP63,CEACAM1,EMP2,TJP3,KRT80,CLDN3,ESRP2,SCNN1B,FGFBP1,OVOL2,AP1S3,DSG3,MS4A8",census,False
bladder,True,False,Epithelial cells,Basal urothelial cells,epithelial,Epithelial cells,epithelial,"TJP2,KRT15,DSG3,KRT5,KRT23,SFN,ITGA3,ITGA2,CLDN7,LAMC2,ITGA6,KLF5,KRT17,KRT16,TACSTD2,LAMB3,CLDN4,ITGB4,CLDN1",census,False
bladder,True,False,Stromal cells,Detrusor smooth muscle cells,connective,Smooth muscle cells,smooth_muscle,"MYH11,SYNM,ACTG2,CACNA1C,DES,KCNMA1,CACNB2,CNN1,SMTN,MYLK,TPM2,MYL9,LMOD1,TAGLN,TPM1,MYOCD,TNS1,ACTA2,RYR2,CASQ2,PDLIM7,KCNQ5,PDLIM3,CALD1,ITGA7,PPP1R12B,LPP,KCNMB1,LDB3,ACTN2,KCNK3,PPP1R12A,CAV1",census,False
bladder,True,False,Stromal cells,Bladder fibroblasts,connective,Fibroblast-like,fibroblast_like,"DCN,COL6A2,COL1A2,COL6A1,PDGFRA,COL6A3,LUM,MMP2,AEBP1,FBLN5,IGFBP6,FBN1,MFAP4,COL1A1,COL3A1,IGFBP7,FBLN1,COL5A2,FBLN2,COL14A1,SFRP2,PCOLCE2,MATN2,PCOLCE,FN1,PDGFRB,ISLR,TNXB,COL5A1,COL12A1,IGFBP5,MFAP5,CD34,ELN,PTN,CXCL12,COL16A1,ADAMTS2,VIM,VCAN,LOX,ADAMTS4,COL8A1,BGN,THY1,CXCL14,ITGA11,MFAP2,FAP,MMP14",census,False
bladder,True,False,Vascular cells,Bladder endothelial cells,connective,Endothelial cells,endothelial,"PECAM1,VWF,EMCN,ADGRL4,ERG,PLVAP,FLT1,PTPRB,ECSCR,ACKR1,SPARCL1,GNG11,CLEC14A,RAMP3,ENG,TSPAN7,SOX18,CAV1,ESAM,CLDN5,CDH5,RAMP2,EPAS1,HSPG2,RHOJ,TIE1,TEK,KDR,CD34,SELE,NRP1,ROBO4,SOX7,EFNB2,CAV2,DLL4,SOX17,NOTCH4,ICAM2,NRP2,ICAM1,BMX,VCAM1,ANGPT2,MCAM,RBP7,NOS3,HHEX,EDN1,PRKD1",census,False
bladder,True,False,Vascular cells,Lymphatic endothelial cells,connective,Endothelial cells,endothelial,"PTPRB,ENG,KDR,EMCN,COL4A1,NRP2,TEK,COL4A2,NRP1,PECAM1,ESAM,TIE1,RAMP2,EFNB2,RELN,TSPAN7,ITGA9,FLT4,LYVE1,SOX18,MMRN1,GJA4,ADM,AQP1,SOX17,ANGPT2,PDGFB,VEGFC,COL15A1,FOXC1,PROCR,GJA5,FABP4,CCL21",census,False
bladder,True,False,Vascular-associated cells,Pericytes,connective,Pericytes,pericyte,"PDGFRB,NOTCH3,FN1,ABCC9,RGS5,COL4A1,EDNRA,COL4A2,COL18A1,TIMP3,MYL9,CSPG4,MCAM,KCNJ8,SERPINH1,CD248,PRRX1,TAGLN,ACTA2,ITGA7",census,False
bladder,False,False,Neuronal cells,Enteric neurons,background,Neurons,neuron,"ELAVL4,UCHL1,PHOX2B,HAND2,PRPH,TUBB3,DCX,L1CAM,NEFM,GAL,MAP2,SCN9A,TAC3,RET,GABRB3,VIP,NEFL,DLX5,CNTNAP2,SLC18A3,PENK,GRIA2,PTPRN,NOS1,CUX2,HTR3A,TAC1,TH,CNTN2,LMO1,POU3F2,CHAT,SLC17A6,SCN10A",census,False
bladder,False,False,Glial cells,Enteric glial cells,background,Glial cells,glial,"PLP1,S100B,MPZ,PTPRZ1,SPARC,CNP,SOX10,PMP22,NDRG2,ERBB4,ERBB3,DHH,FABP7,AQP4,OLIG2,MAG",census,False
bladder,True,False,Immune cells,Bladder tissue-resident macrophages,inflammatory,Macrophage-like,macrophage_like,"AIF1,TYROBP,MS4A6A,CD163,CD14,FCGR2A,ITGB2,VSIG4,C1QA,MRC1,C1QB,C1QC,STAB1,CSF1R,TGFBI,ITGAX,FCGR3A,ITGAM,MARCO,MSR1,FCGR2B,IL10,CTSB,LYVE1,CLEC4E,SIGLEC1,MMP9,CD163L1,PLAUR,LILRB5,CD68,HCST,SYK,OSM,CXCL16,TREM2,APOE,CCR5,SPP1,CCL18,LPL,CCR2,CTSL,CCL22",census,False
bladder,True,False,Immune cells,Tumor-infiltrating CD8+ T cells,inflammatory,Lymphocytes,lymphocyte,"CXCR4,IL7R,CD2,RUNX3,CD3D,CD3E,STAT4,TRBC2,CD3G,TRAC,TOX,LCK,TRBC1,CD8A,SH2D2A,GZMA,CD28,NKG7,IL2RB,CXCR6,PRF1,CD8B,GZMB,ITGAL,SH2D1A,IL12RB2,CTLA4,STAT5B,GZMK,IRF4,CCR7,CRTAM,IL10RA,TIGIT,CD27,GZMH,PDCD1,IFNG,CXCR3,TBX21,BATF,CD160,GNLY,SELL,FASLG,EOMES,CXCR5,CD244,ZNF683,IL21",census,False
bladder,False,False,Immune cells,Intratumoral plasma cells,inflammatory,Plasma cells,plasma_cell,"MZB1,JCHAIN,DERL3,IGHA1,FKBP11,TENT5C,SEC11C,IGHA2,IGKC,TNFRSF17,CD27,SLAMF7,CD38,PIM2,SSR4,PRDM1,CRELD2,IRF4,IGLC2,SSR3,PDIA6,SEL1L,HSP90B1,SEC61B,PDIA4,XBP1,DERL1,HSPA5,BIRC3,IGLC3,PPIB,IGHG1,IGHG3,CALR,ITM2C,BCL2,CCR10,IGHG4,TXNDC5,IGHG2,DERL2,HYOU1,IGHM,CXCR4,CD19,CD28",census,False
bladder,False,False,Mesothelial cells,Serosal mesothelial cells,epithelial,Mesothelial cells,mesothelial,"COL3A1,SPARC,UPK3B,MYL9,COL1A1,TPM1,TPM2,WT1,PDPN,ALDH1A2,MSLN,CLDN15,KRT18,ANXA2,SLPI,KRT19,KRT8,COL4A2,UPK1B,EZR",census,False
brain,True,True,Malignant glial cells,Classical glioblastoma cells,neoplastic,Glial cells,glial,"ITGA2,ERBB3,FGFR3,ITGB4,NOTCH1",census,True
brain,True,True,Malignant glial cells,Mesenchymal glioblastoma cells,neoplastic,Glial cells,glial,"COL4A5,ITGA2,ANGPTL4,IL1B,IL1A",census,True
brain,True,True,Malignant glial cells,Proneural glioma stem-like cells,neoplastic,Glial cells,glial,"NKX6-2,ERBB3,FGFR3,SOX10,NKX2-2,ITGB4,GPR17,OLIG1",census,False
brain,True,True,Malignant glial cells,Diffuse midline glioma H3K27-altered cells,neoplastic,Glial cells,glial,"FGFR2,COL9A2,OLIG1,SOX10,NKX2-2,ITGB4,OLIG2",census,False
brain,False,False,Progenitor cells,Neural stem/progenitor cells,background,Basaloid progenitor cells,basaloid_progenitor,"SOX2,VIM,TMSB15A,HES6,FABP7,NES,HES5,TOP2A,PAX6,MKI67,SOX3,CD24,HES1,SOX1,CDC20,DLK1,DLX2,ID3,EOMES,MSI1,ID1,ASCL1",census,False
brain,True,False,Neuronal cells,Excitatory glutamatergic neurons,background,Neurons,neuron,"SYT1,GRIN2B,PCLO,SCN2A,HCN1,SNAP25,GRIA1,GRM5,GRIN1,SCN8A,CAMK2B,MAP2,STXBP1,GRIN2A,SHANK2,NRXN1,SCN1A,KCNQ3,CAMK4,CAMK2A,GRIA2,GRIA3,HOMER1,TSPAN7,NRXN3,BSN,BCL11A,GRM1,GRIA4,SV2A,SYT7,KCNQ2,DLG2,SLC8A2,SHANK1,SYT4,NRXN2,KCNH3,NEFL,SATB2,SLC17A7,CTNND2,CUX2,STX1A,BCL11B,NEFM,MAP1B,FOXP1,DLG4,TBR1",census,False
brain,True,False,Neuronal cells,Inhibitory interneurons,background,Neurons,neuron,"GABRB3,GABBR2,GABRB2,GABRG2,GRIK2,KCNC2,GABRG3,NRXN1,KCND2,CNTNAP2,GABRA1,GABRB1,KCNB1,GABRA4,SLC12A5,NRXN3,GABRA2,KCNC1,CCK,CNTNAP1,GABRA3,GABRA5,GABRD,GAD2,GABBR1,GAD1,GRIK1,NTNG1,SCG2,GRIN2D,LAMP5,KCNK3,GPR149,RELN,KCNK4,CALB2,CALB1,SLC32A1,TAC1,LHX6,KIT,SST,CRH,VIP,PVALB,CRHBP,DLX1,HTR2C,GADL1,HTR1A",census,False
brain,True,False,Glial cells,Astrocytes,background,Glial cells,glial,"SLC1A3,MEGF10,FGFR2,GPR37,KCNJ10,SOX10,FGFR3,GPR37L1,PLEKHB1,S100B,ITGB4,SLC14A1,GJA1,SLCO1C1,GFAP,AQP4,ALDH1L1,LIFR,GJB6,ANGPTL4",census,False
brain,True,False,Glial cells,Oligodendrocytes,background,Glial cells,glial,"BCAS1,TMEM144,ST18,UGT8,ENPP2,PLP1,TF,MOBP,FA2H,MOG,QKI,MYRF,TMEM63A,CNP,MAG,SH3TC2,MAL,MBP,FGFR2,ASPA,ERMN,GPRC5B,NKX6-2,OPALIN,GPR37,PPP1R14A,APOD,OLIG1,FGFR3,KLK6,SOX10,PTGDS,NKX2-2,HAPLN2,ERBIN,TMEM125,OLIG2,CLDN11",census,False
brain,True,False,Glial cells,Oligodendrocyte precursor cells,background,Glial cells,glial,"ENPP2,NKX6-2,FGFR2,GPR37,OLIG1,SOX10,FGFR3,NKX2-2,ITGB4,GPR17",census,False
brain,True,False,Vascular cells,Brain endothelial cells,connective,Endothelial cells,endothelial,"FLT1,EPAS1,CLDN5,VWF,ABCB1,ERG,ABCG2,ADGRL4,PECAM1,SLC2A1,ENG,SLC7A5,SLCO2B1,KLF2,MFSD2A,TIE1,CDH5,TEK,ESAM,ROBO4,ICAM2,SLC39A8,NOTCH4,KDR,CLEC14A,CAV1,KLF4,OCLN,DLL4,GATA2,FOXO1,SLC16A1,SOX17,SOX7,PROCR,ICAM1,ANGPT2,ECSCR,CA4,APLNR,APLN,PLVAP,JAM2,SELE,VCAM1",census,False
brain,True,False,Vascular-associated cells,Pericytes,connective,Pericytes,pericyte,"PDGFRB,NOTCH3,FN1,ABCC9,RGS5,COL4A1,EDNRA,COL4A2,COL18A1,TIMP3,MYL9,CSPG4,MCAM,KCNJ8,SERPINH1,CD248,PRRX1,TAGLN,ACTA2,ITGA7",census,False
brain,False,False,Glial cells,Bergmann glia,background,Glial cells,glial,"KCNJ10,SLC1A3,ALDH1L1,ITGB4,S100B",census,False
brain,False,False,Ependymal cells,Tanycytes,background,Ependymal cells,ependymal,"RFX2,SLC1A3,AQP4,RFX4,FOXJ1,GFAP,IFT88,SOX9,TTR,PTPRZ1,LIFR,NOTCH2",census,False
cervix,True,False,Epithelial cells,Reserve basal cells,epithelial,Basaloid progenitor cells,basaloid_progenitor,"ID3,ABCG2,NOTCH3,ITGA7,HES1,DSG3,KRT6A,KRT6B",census,False
brain,False,False,Epithelial cells,Choroid plexus epithelial cells,epithelial,Epithelial cells,epithelial,"TTR,IGFBP7,OTX2,CLIC6,RBP1,SLC13A4,CP,FOLR1,KRT18,BSG,KRT8,CLDN3,ITGA6,COL18A1,CLDN1,SPARC,AQP1,SLC4A5,ENPP2,SLCO1C1,WFDC2,KRT19,CLDN2,VEGFB,SOX9,EPCAM,MUC1,AQP3,KRT7,MSLN,ERBB2,SCGB3A2,LCN2,FOXA2,SCGB2A1",census,False
brain,False,False,Glial cells,Olfactory ensheathing cells,background,Glial cells,glial,"PLP1,MBP,FGFR2,ERBB3,SOX10,ITGB4,GJB1",census,False
brain,True,False,Immune cells,Microglia,inflammatory,Macrophage-like,macrophage_like,"APBB1IP,CSF1R,LYN,LAPTM5,SYK,C1QB,HLA-DRA,C1QC,TYROBP,APOE,HLA-DRB1,CSF3R,C1QA,MSR1,B2M,OLR1,CX3CR1,SLC2A5,P2RY12,ITGB2,ITGAX,GPR34,AIF1,FCER1G,CTSB,VSIG4,APOC1,LCP2,SPI1,TGFBR1,TREM2,IRF8,CD68,LILRB4,P2RY13,REL,CXCL16,CCL4,ABI3,APOC2,IL1B,NLRP3,HLA-DPA1,SIGLEC8,GPNMB,HLA-DPB1,TMEM119,CTSD,PTPN6,IRF5",census,False
brain,False,True,Malignant neuronal cells,Medulloblastoma SHH subtype cells,neoplastic,Embryonal tumor cells,embryonal_tumor,"SOX2,CDK4,SOX9,CCND2,ID3,HES6,HES1,SOX4,CCND1,BRD2,MYC,PARP1,EZH2,DLL3,TP53,BIRC5,TOP2A,MKI67,CDK2,AURKA,PROM1,NEUROD1,NOTCH2,GLI1",census,False
brain,False,True,Malignant embryonal cells,Atypical teratoid rhabdoid tumor cells,neoplastic,Embryonal tumor cells,embryonal_tumor,"SOX2,BCAN,EGFR,CDK4,VEGFA,SOX9,CCND2,PDPN,CD44,SPP1,OLIG2,PDGFRA,CCND1,MMP2,BRD2,POU3F2,SOX4,MYC,EZH2,TP53,TOP2A,SMARCE1,MMP14,CXCL8,SMARCC2,BIRC5,PLAU,CDK2,PROM1,AURKA,HOXA3,MKI67,NGFR,DUSP4,IL6,HOXA2,NANOG,POU5F1,L1TD1",census,False
bone,True,False,Stromal cells,Osteoblasts,connective,Osteoblasts,osteoblast,"COL1A2,COL1A1,LUM,BGN,GJA1,COL3A1,COL6A2,DCN,COL5A2,COL6A1,COL12A1,COL5A1,IBSP,SERPINF1,ALPL,RUNX2,COL11A1,DLX5,ANGPT1,SPP1,PDGFRA,PTH1R,SP7,PDGFRB,DLX3,CTNNB1,ENPP1,THBS1,THBS2,SOX9,ITGB1,SPARCL1,PHEX,BMP2,PHOSPHO1,BGLAP,COL14A1,ITGA11,POSTN,FGFR2,BMP4,BMP7,TNFRSF11B,WNT5A,OGN,VEGFA,WNT10B,MEPE,OSR2,DLX2",census,False
bone,True,False,Stromal cells,Osteocytes,connective,Osteocytes,osteocyte,"SOST,DMP1,PHEX,MEPE,FGF23,PDPN,GJA1,GJA4,ANKH,ENPP1,SLC34A1,SLC34A3,ATP6V0D2,ATP6V1B1,ATP6V1C1,ITGA8,ITGB1,LAMB2,LAMA5,LAMC1,VEGFA,VEGFB,LRP4,LRP5,LRP6,TNFRSF11B,TMEM119,SPP1,IBSP,BGLAP,COL1A1,COL1A2,COL5A1,COL5A2,FAM20C,CA2,CA12,CKB,SPARCL1,CLDN11,FOXC2,SOX6,SOX9,RUNX2,ATF4,CTNNB1,TLE4,FGF2,BMP7,GDF10",v3_curated,True
bone,True,False,Stromal cells,Bone lining cells,connective,Fibroblast-like,fibroblast_like,"SPARC,DCN,MGP,SERPINF1,LAMA4,PDGFRA,LUM,TIMP3,POSTN,LAMC1,LOXL2,MFAP2,LAMB1,COL14A1,ELN,LOX,THY1,AEBP1,S100A10,PDGFRB,MYL9,MFAP5,NRP1,ITGB1,SMOC2,NOTCH3,PDPN,COL15A1,CAV1,ACTA2,ITGB5,TJP1,SFRP1,ADAMTS2,NRP2,SFRP4,TAGLN,VEGFA,VCAM1,ADAMTS12,PTGIS,ANGPT1,WIF1,HEYL,EDNRA,ITGA11,PLXNA2,GREM2,EDNRB",census,False
bone,True,False,Mesenchymal cells,Bone marrow mesenchymal stromal cells,connective,Fibroblast-like,fibroblast_like,"COL1A2,COL3A1,SPARC,COL6A1,COL6A2,COL5A2,COL1A1,FN1,DCN,COL5A1,SERPINF1,DLK1,VCAN,PTN,PDGFRA,LUM,ITGB1,CXCL12,LOXL2,LOX,NID1,THY1,FBLN1,PDGFRB,CD248,MFAP5,SFRP2,FBLN2,NOTCH3,PDPN,NT5E,NID2,BMP4,TGFB3,ENG,ADAMTS2,ALDH1A3,SFRP4,CXCL14,VCAM1,WNT5A,LEPR,SLIT2,SOX9,ANGPT1,MCAM,GAS6,RUNX2,HEY1,PPARG",census,False
bone,True,False,Vascular cells,Bone marrow endothelial cells,connective,Endothelial cells,endothelial,"FLT1,KDR,NRP1,GNG11,CDH5,ADGRL4,PLVAP,RAMP2,ESAM,CLDN5,CLEC14A,TIE1,PECAM1,EMCN,EPAS1,NRP2,CD93,TEK,ENG,ERG,PROCR,ROBO4,BCAM,SOX7,DLL4,VWF,ICAM2,SOX17,CD34,TMEM204,RBP7,HEY1,FOXO1,JAG1,DNASE1L3,ANGPT2,VCAM1,NOS3,SELE,RAMP3,HEY2,APLN,SLC16A1,SPARCL1,PRKAA2",census,False
bone,True,False,Progenitor cells,Hematopoietic stem and progenitor cells,background,Hematologic blasts,hematologic_blast,"CDK6,SOX4,CD34,MSI2,LMO2,GATA2,HHEX,LYL1,HOXA9,NRIP1,HOXA10,KIT,ANGPT1,TAL1,PROM1,FLT3,RUNX1,PBX1,MEIS1,HOXA7,HOXB4,NUP98,HOXA5,DNMT3A,HLF,MEF2C,MPL,ROBO4,HOXB6,CCND2,TEK",census,False
bone,True,False,Immune cells,Osteoclasts,inflammatory,Osteoclasts,osteoclast,"MMP9,ACP5,CTSK,CSTB,ATP6V1C1,CSF1R,ITGAV,ATP6V0D2,MMP14,CA2,LGALS3,SPI1,FOSL2,ATP6V1H,NFATC1,MITF,TNFRSF11A,SQSTM1,TYROBP,CCR1,CTSB,CTSL,OSCAR,OSTM1,OCSTAMP,ITGB5,ITGB3,DCSTAMP,SIRPA,CLCN7,ACP2,LILRB4,CALCR,SH3BP2",census,False
bone,True,True,Malignant mesenchymal cells,Osteosarcoma (osteoblastic) tumor cells,neoplastic,Osteoblasts,osteoblast,"COL1A2,COL1A1,SPARC,CDH11,COL3A1,COL5A2,COL5A1,IBSP,MMP2,ALPL,COL11A1,RUNX2,DLX5,SPP1,SATB2,MMP13,FGFR1,LOX,SP7,SNAI2,PDGFRB,DLX3,CTSK,ITGB1,HEY1,HEY2,SOX9,ADAMTS2,MCAM,CXCL12,MMP9,BGLAP,ITGA11,POSTN,TWIST1,FGFR2,VEGFA,AXL,PDPN,ADAM9,CDK4,WNT7B",census,False
bone,True,False,Immune cells,Osteal macrophages,inflammatory,Macrophage-like,macrophage_like,"TYROBP,S100A9,S100A8,CD68,SPI1,CD14,CLEC7A,FCGR2A,CSF1R,CD163,TLR2,HMOX1,CD1D,TLR4,VSIG4,MARCO,CCR2,C1QA,ITGAX,C1QC,C1QB,MSR1,IL10,MRC1,SIGLEC1,LYVE1,TREM2,CD209",census,False
